English,Czech
powder,prášek
sync,sync
bum,zadek
passes,průchody
joan,joan
fort,pevnost
choices,volby
alley,alej
supper,večeře
penis,penis
alibi,alibi
sammy,Sammy
pole,pól
coke,Kola
scientist,vědec
fighter,bojovník
highway,Dálnice
blade,čepel
alpha,alfa
diet,strava
liquor,alkohol
jet,proud
widow,vdova
liberty,svoboda
philip,Filip
moral,morální
carrie,carrie
award,cena
grief,smutek
thirsty,žíznivý
ashley,ashley
random,náhodný
suspects,podezřelí
intention,záměr
julian,Julian
active,aktivní
tools,nástroje
driven,řízený
trauma,trauma
headache,bolest hlavy
safely,bezpečně
alexander,Alexander
knee,koleno
lads,mladíci
novel,román
conversations,konverzace
waters,vody
lookin,Koukni do
invisible,neviditelný
internal,vnitřní
peaceful,klidný
humming,bzučení
washed,promyje
drives,pohony
talented,talentovaný
li,li
aid,pomoc
elephant,slon
troubles,potíže
core,jádro
serial,seriál
s-,s-
painted,namalovaný
the,
divine,božský
jam,džem
goat,koza
opera,opera
thieves,zloději
guessing,hádání
objection,námitka
whiskey,whisky
florida,Florida
resistance,odpor
dressing,obvaz
attached,připojený
aaron,aaron
brief,stručný
punish,potrestat
eternal,věčný
lois,lois
and,a
required,Požadované
victoria,victoria
fabulous,báječný
twins,dvojčata
characters,postavy
cooked,vařené
ln,ln
ruth,Ruth
dreamed,snil
arts,umění
naughty,nezbedný
stabbed,bodl
tend,sklon
diane,Diane
tap,kohoutek
soap,mýdlo
locker,skříňku
development,rozvoj
images,snímky
prick,bodnutí
global,globální
string,tětiva
bitter,hořký
sharing,sdílení
corn,kukuřice
craig,Craig
fits,záchvaty
tent,stan
forms,formuláře
votes,hlasů
harold,harold
propose,navrhnout
monica,monica
constantly,neustále
granny,babička
nicely,hezky
nerves,nervy
arguing,dohadování
abuse,zneužívání
relatives,příbuzní
survival,přežití
gloves,rukavice
tracking,sledování
zoe,zoe
u,u
bend,ohyb
review,Posouzení
connect,připojit
separated,oddělený
elder,starší
beard,vousy
admiral,admirál
diana,Diana
salary,plat
areas,oblasti
disturb,rušit
pro,pro
maintain,udržovat
solved,vyřešit
wealth,bohatství
bitches,feny
possession,majetek
sang,zpíval
gimme,Dej mi
plates,talíře
shoulders,ramena
burnt,Spálený
recorded,Zaznamená
upper,horní
counts,počty
tale,příběh
profit,zisk
colleague,kolega
warehouse,sklad
hostage,rukojmí
shore,pobřeží
porn,porn
miami,Miami
fifteen,patnáct
visitors,návštěvníků
bo,bo
net,síť
insult,urazit
owen,trouba
cities,města
causing,způsobující
lemon,citrón
heal,vyléčit
banging,bouchání
honeymoon,svatební cesta
appeal,odvolání
marshall,marshall
critical,kritický
creating,vytváření
scotland,Skotsko
crane,jeřáb
enormous,obrovský
testimony,svědectví
praise,Chvála
fights,bojuje
indians,indiáni
commission,komise
growls,vrčení
nicole,Nicole
sins,hříchy
fraud,podvod
branch,větev
happily,šťastně
bout,zápas
covering,krytina
occurred,došlo
beans,fazole
raw,drsný
muscle,sval
pages,stránky
tense,čas
relationships,vztahy
management,řízení
assignment,úkol
blonde,blondýnka
catching,nakažlivý
exposed,vystavený
canada,Kanada
dont,Dont
han,han
von,von
comedy,komedie
marco,marco
stroke,mrtvice
whistling,hvízdající
buildings,budovy
shaking,třesení
p.m.,odpoledne
facility,zařízení
appropriate,odpovídající
remarkable,pozoruhodný
transferred,přestoupil
drawn,tažené
tits,kozy
clicking,klikání
symbol,symbol
motor,motor
employees,zaměstnanci
ambassador,velvyslanec
mothers,matek
pile,hromada
feeding,krmení
soda,soda
checks,kontroly
bears,medvědi
cookies,sušenky
slut,coura
awfully,strašně
stepped,vystoupil
toys,hračky
levels,úrovně
differently,jinak
magnificent,velkolepý
steak,steak
tube,trubka
leaders,vedoucí
superior,nadřízený
herr,Herr
pan,pánev
expression,výraz
currently,v současné době
throne,trůn
deadly,smrtelný
bee,včela
tooth,zub
depressed,deprimovaný
potatoes,brambory
wicked,zlý
resources,zdroje
native,rodák
centuries,století
karl,karl
poetry,poezie
multiple,násobek
cable,kabel
shortly,brzy
buzz,bzučet
socks,ponožky
fingerprints,otisky prstů
goddess,bohyně
chin,brada
anxious,úzkostlivý
september,září
colors,barvy
basketball,Basketball
promises,sliby
explained,vysvětleny
appearance,vzhled
musical,hudební
sends,odešle
slide,skluzavka
aii,aii
shawn,Shawn
ultimate,Ultimátni
pork,vepřové maso
communication,sdělení
payment,Způsob platby
structure,struktura
paperwork,papírování
obsessed,posedlý
lazy,líný
russians,Rusové
actors,herci
squeeze,sevření
magical,magický
colleagues,spolupracovníci
admire,obdivovat
madness,šílenství
roads,silnice
entry,vstup
injury,zranění
burden,břemeno
racing,závodění
manner,způsob
freezing,mrazivý
bits,bity
norman,Norman
mount,kůň
battery,baterie
dessert,dezert
pound,libra
visited,navštívil
motel,motel
rumbling,dunění
cinema,kino
fond,fond
halfway,v půli
rifle,puška
reception,recepce
statue,socha
fridge,lednička
brick,cihlový
abandon,opustit
lap,klín
natalie,Natalie
wars,války
recommend,doporučit
brush,štětec
nelson,Nelson
pill,pilulka
concept,pojem
w,w
delay,zpoždění
quarters,čtvrtě
korea,Korea
janet,janet
rub,třít
mall,nákupní centrum
soil,půda
complaint,stížnost
sail,plachta
baker,pekař
coughs,kašle
bucket,Kbelík
description,popis
badge,odznak
measure,opatření
hip,boky
function,funkce
indistinctly,zmateně
harris,Harris
foundation,nadace
labor,práce
willie,willie
waiter,číšník
homeless,bez domova
proved,se ukázala
unfortunate,nešťastný
log,log
meetings,setkání
giggles,chichotání
combat,boj
poem,báseň
polish,polština
handed,handed
mia,mia
weed,plevel
raymond,Raymond
tons,tun
satellite,družice
jersey,trikot
eagle,orel
privacy,Soukromí
chapter,kapitola
treating,léčení
wisdom,moudrost
flip,flip
entering,vstupující
barn,stodola
farmer,zemědělec
clan,klan
budget,rozpočet
pub,hospoda
temporary,dočasný
effective,efektivní
sonny,synáček
wendy,Vendula
juan,juan
lamb,jehněčí
plot,spiknutí
riley,Riley
proposal,návrh
sticks,tyčinky
searched,prohledávat
blessing,požehnání
rage,vztek
bothered,obtěžovat
sydney,sydney
basis,základ
manners,mravy
recover,uzdravit se
twist,kroutit
neil,neil
leak,unikat
item,položka
catholic,katolík
sighing,vzdychání
retired,v důchodu
kings,králové
inner,vnitřní
cents,centů
affect,postihnout
forbidden,zakázaný
patch,náplast
drops,kapky
necessarily,nezbytně
provided,pokud
meters,metry
booked,rezervovat
returns,výnos
gloria,gloria
fires,požáry
humor,humor
torn,roztržený
e-mail,e-mailem
rocky,skalnatý
introduced,zavedla
creative,tvůrčí
betray,zradit
soviet,sovětský
various,rozličný
added,přidané
discovery,objev
cowboy,kovboj
suspected,podezření
suggested,navrhl
delighted,potěšen
sticking,lepení
dive,potápět
shane,shane
radar,radar
prosecutor,žalobce
amber,jantar
vast,nesmírný
quinn,Quinn
owned,vlastnila
cookie,sušenka
finest,nejjemnější
felix,felix
pump,čerpadlo
valentine,miláček
counter,čelit
sorts,druhy
coin,mince
warren,nora
slaves,otroci
marine,mořský
illness,nemoc
sack,pytel
bid,nabídka
require,vyžadovat
moscow,Moskva
largest,největší
washing,mytí
achieve,dosáhnout
causes,příčiny
k,k
mo,mo
dope,droga
nest,hnízdo
palm,dlaň
logan,logan
constant,konstantní
b.,b.
boo,vypískat
medication,léky
gravity,gravitace
booze,chlast
noah,Noe
evan,evan
abroad,v cizině
christine,christine
rising,zvyšující se
analysis,analýza
cuts,řezy
eats,jídla
employee,zaměstnanec
vodka,vodka
damaged,poškozený
solar,sluneční
height,výška
pops,pops
yards,yardů
terrified,vyděšený
suitcase,kufr
chemical,chemikálie
preparing,připravuje se
advanced,pokročilý
fund,fond
wears,opotřebovává
chirping,cvrlikání
web,web
phase,fáze
prom,promenáda
suggesting,navrhovat
fleet,Flotila
lame,chromý
irish,irština
editor,editor
october,říjen
assumed,předpokládaný
whip,bič
mel,mel
region,kraj
amongst,mezi
temper,nálada
discussion,diskuse
engines,motory
operate,fungovat
sunshine,Sluneční svit
acted,choval
undercover,v utajení
horror,hrůza
tested,testovaný
smash,rozbít
contrary,opak
roses,růže
poker,poker
wrapped,balený
korean,korejština
graham,graham
mi,mi
fu,fu
ivan,ivan
focused,zaměřena
liam,Liam
tragic,tragický
carla,carla
demons,démoni
rounds,nábojů
entertainment,zábava
gathered,shromážděné
uhh,uhh
yells,výkřiky
lincoln,lincoln
crossing,přechod
blanket,deka
nut,matice
travis,Travis
pockets,kapsy
limited,omezený
paintings,obrazy
sober,střízlivý
caesar,Caesar
sis,sis
intended,zamýšlený
niece,neteř
computers,počítače
tennis,tenis
needle,jehla
chicks,kuřat
traditional,tradiční
delicate,choulostivý
independent,nezávislý
leslie,Leslie
lauren,lauren
grandson,vnuk
repair,opravit
a.,A.
brandon,Brandon
executive,výkonný
colin,Colin
recognized,uznán
holmes,holmes
regarding,ohledně
weakness,slabost
aliens,cizinci
gunshots,výstřely
european,evropský
method,metoda
tool,nástroj
demands,Požadavky
permit,povolení
towel,ručník
daisy,sedmikráska
nowadays,dnes
spider,pavouk
northern,severní
rangers,rangers
zoo,zoologická zahrada
praying,modlí
antonio,Antonio
passengers,cestující
con,ošidit
australia,Austrálie
technique,technika
cellphone,mobilní telefon
gently,jemně
operations,operace
planes,letadla
bunny,Králíček
gunfire,dělostřelba
shining,lesklý
backwards,dozadu
skill,dovednost
uh-,uh-
baron,baron
kidnapping,únos
iike,rád
marshal,maršál
petty,drobný
sealed,zapečetěný
massage,masáž
raising,zvedání
menu,Jídelní lístek
diary,deník
fucker,fucker
wagon,vagón
audition,konkurs
mitch,Mitch
mexican,Mexičan
casino,kasino
bacon,slanina
diego,Diego
dutch,holandský
promotion,povýšení
click,cvaknutí
forgiveness,odpuštění
burst,prasknout
permanent,trvalý
interfere,zasahovat
chanting,skandování
dammit,sakra
spencer,bolero
recovered,zpět
registered,registrovaný
sunny,slunný
packing,obal
scenes,scény
superman,superman
questioning,dotazování
unfair,nespravedlivý
admitted,připustil
ancestors,předky
polite,zdvořilý
completed,dokončený
swallow,polykat
conduct,chování
prayers,modlitby
sheet,prostěradlo
fried,smažený
avenue,avenue
poisoned,otrávený
reverse,zvrátit
newspapers,noviny
ford,brod
complaining,stěžovat
senses,smysly
investment,investice
absurd,absurdní
potato,brambor
understands,chápe
grows,roste
inspired,inspirovaný
ruby,rubín
celebrating,slaví
tag,štítek
ram,RAM
requires,vyžaduje
bonnie,bonnie
bugs,hmyz
leonard,Leonard
elliot,Elliot
hooked,zahnutý
jill,Jill
ranch,ranč
safer,bezpečnější
worn,opotřebovaný
crashing,shazovat
lands,pozemky
heather,vřes
ash,popel
leather,kůže
grounds,pozemky
assuming,za předpokladu
nails,hřebíky
dana,dana
conspiracy,spiknutí
thanksgiving,díkůvzdání
pierre,pierre
guardian,poručník
rumors,pověsti
yen,yen
megan,megan
ashes,popel
terror,teror
misunderstanding,nedorozumění
tire,pneumatika
boats,lodě
parade,průvod
halt,Stůj
immunity,imunita
adults,Dospělí
steam,parní
kang,kang
closely,úzce
pearl,perla
soccer,fotbal
adrian,Adrian
priority,přednost
shouts,výkřiky
donald,Donald
happier,šťastnější
khan,orientální hostinec
struggling,zápasí
root,vykořenit
larger,větší
november,listopad
boot,bota
conflict,konflikt
laughed,smáli
debbie,Debbie
cherry,třešeň
honking,kejhání
concerns,znepokojení
celebration,oslava
sore,bolavý
unconscious,nevědomý
cattle,dobytek
breasts,poprsí
fairly,spravedlivě
fee,poplatek
recognise,uznat
wade,přebrodit
radiation,záření
holidays,dovolená
raining,prší
forgetting,zapomínání
lungs,plíce
register,Registrovat
shadows,stíny
specifically,specificky
sarge,sarge
ideal,ideál
turtle,želva
spoil,zkazit
deserved,zasloužený
ronnie,Ronnie
gina,gina
candidate,kandidát
lance,oštěp
types,typy
bloke,chlápek
explode,explodovat
immediate,bezprostřední
belonged,patřil
identified,identifikovaný
di,di
hunger,hlad
closest,nejbližší
combination,kombinace
nanny,chůva
seth,Seth
gabriel,Gabriel
develop,rozvíjet
detectives,detektivové
severe,přísný
en,en
organized,organizovaný
franklin,franklin
gut,střevo
splendid,nádherný
dismissed,zamítnut
pm,odpoledne
yang,jang
halloween,předvečer Všech svatých
ellie,Ellie
vulnerable,zranitelný
continued,pokračování
vital,vitální
comrades,soudruzi
bureau,kancelář
drawer,šuplík
harper,harfenista
retreat,ústraní
carson,Carson
benny,benny
pillow,polštář
troy,Troy
ace,eso
cart,vozík
nap,zdřímnutí
chan,chan
ham,šunka
announce,oznámit
borrowed,vypůjčené
parked,zaparkoval
galaxy,galaxie
voted,hlasoval
muffled,tlumený
sebastian,Sebastian
mmm-hmm,mmm-hmm
jewelry,šperky
kisses,polibky
luggage,zavazadlo
groom,ženich
oops,oops
lighter,zapalovač
masters,mistři
alliance,aliance
buddies,kamarádi
clothing,oblečení
denied,popřít
drown,utopit
alike,podobně
excellency,Excelence
relative,relativní
photographs,fotografie
burger,hamburger
dough,těsto
alicia,Alicia
wreck,vrak
approve,Schválit
produced,produkoval
christina,Christina
physically,fyzicky
stations,stanice
eli,eli
samantha,samantha
spiritual,duchovní
sire,zplodit
roaring,řvoucí
stab,bodnout
inch,palec
servants,sloužící
limits,limity
unexpected,neočekávaný
arrival,příchod
whimpering,kňučení
basket,košík
sheets,povlečení na postel
scandal,skandál
stink,smrad
homer,homer
tara,tara
christopher,Christopher
toes,prsty
t-,t-
shield,štít
shooter,střelec
instant,okamžitý
objects,objektů
rehearsal,zkouška
disturbing,rušivý
directed,Directed
scan,skenovat
electronic,elektronický
republic,republika
overnight,přes noc
counsel,právní zástupce
sirens,sirény
dorothy,Dorothy
bait,návnada
dignity,důstojnost
explains,vysvětluje
lean,opírat se
heroin,heroin
tracy,tracy
rex,rex
barney,Barney
gossip,drby
humble,pokořit
economy,ekonomika
worlds,světy
impress,zapůsobit
clara,clara
tissue,tkáň
threaten,hrozit
et,a
bump,narazit
supreme,nejvyšší
bingo,bingo
mitchell,Mitchell
excitement,vzrušení
mankind,lidstvo
document,dokument
broad,široký
vietnam,Vietnam
vessel,plavidlo
lit,lit
dale,údolí
killers,zabijáci
connor,Connor
mario,mario
foul,odporný
stare,upřený pohled
deaths,úmrtí
hut,chata
elements,elementy
coma,kóma
laying,kterým se
coffin,rakev
paula,paula
cocaine,kokain
puppy,štěně
louder,hlasitější
handled,zacházet
announcement,oznámení
oath,přísaha
mob,dav
cotton,bavlna
deposit,vklad
taxes,daně
injuries,zranění
jen,Jen
autopsy,pitva
advise,"radit, podat zprávu"
gig,gig
lecture,přednáška
posted,vyslán
skinny,tenký
lo,hle
include,zahrnout
revealed,odhalily
infected,infikovaný
relieved,uklidněný
assistance,pomoc
solo,sólo
determine,určit
terrorists,teroristé
elsewhere,někde jinde
lamp,svítilna
practical,praktický
marked,výrazný
adorable,rozkošný
rubber,guma
purple,nachový
operating,provozní
suite,souprava
apologies,omluvy
personnel,personál
beam,paprsek
poet,básník
samples,Vzorky
arrow,šipka
counselor,poradce
carpet,koberec
allen,allen
audrey,audrey
spotted,puntíkovaný
floating,plovoucí
corrected,opraveno
located,nachází se
journalist,novinář
insisted,"trval na tom,"
operator,operátor
rely,spolehnout se
singh,Singh
fooled,zmást
arrives,přichází
i.d.,i.d.
leon,leon
walt,Walt
eastern,východní
ay,ano
shave,oholit se
remaining,zbývající
toss,hození
anderson,Anderson
lip,ret
acid,kyselina
nora,nora
si,Si
december,prosinec
anonymous,anonymní
inn,hospoda
planted,zasazený
oldest,nejstarší
breast,prsa
sixth,šestý
error,chyba
reporting,reporting
egypt,Egypt
islands,ostrovy
brother-in-law,švagr
jules,Jules
roommate,spolubydlící
sings,zpívá
scum,spodina
visitor,návštěvník
giggling,chichotání
described,popsány
geez,Bože
inches,palců
commitment,závazek
hercules,Herkules
react,reagovat
cows,krávy
protest,protest
misery,bída
theft,krádež
embrace,objetí
darn,látat
harsh,drsný
andrea,Andrea
communicate,komunikovat
fathers,otcové
faithful,věřící
hector,sekýrovat
uh-uh,uh-uh
flame,plamen
medal,medaile
silk,hedvábí
photographer,fotograf
trevor,Trevor
cemetery,hřbitov
rear,zadní
freddy,Freddy
banana,banán
allison,allison
emotion,emoce
chap,chlápek
dated,datováno
excuses,výmluvy
shitty,na hovno
bin,zásobník
jew,Žid
gum,guma
crushed,drcený
efforts,úsilí
content,obsah
corporal,desátník
realised,uvědomil
del,del
rap,klepnout
hopeless,beznadějný
debate,rozprava
era,éra
luckily,naštěstí
ton,tón
liquid,kapalný
swell,bobtnat
peggy,Peggy
feast,hody
murphy,Murphy
attracted,přitahoval
application,aplikace
profession,profese
bench,lavice
vanessa,Vanessa
ahem,ehm
symptoms,příznaky
scout,průzkumník
crashed,havaroval
keen,bystrý
aircraft,letadlo
formed,tvořil
hon,hon
aggressive,útočný
pale,bledý
significant,významný
duncan,Duncan
clubs,kříže
visual,vizuální
embassy,ambasáda
defence,obrana
cabinet,skříň
display,Zobrazit
fame,sláva
gibbs,Gibbs
drowned,utopil
wolves,vlci
filming,filmování
dunno,nevím
cursed,prokletý
twin,dvojče
sorrow,zármutek
vault,klenba
defeated,poražený
watson,watson
quote,citát
penalty,trest
bargain,smlouvat
pepper,pepř
speaker,mluvčí
compare,porovnat
satan,ďábel
helmet,helma
scar,jizva
copies,kopie
fuss,povyk
envelope,obálka
perry,hruškový mošt
stinks,smrdí
african,Afričan
arrangements,ujednání
wished,přál
honored,poctěn
believing,věřit
discussed,diskutovány
assigned,přidělen
rosa,rosa
oven,trouba
jenna,jenna
attacking,útočící
tin,cín
sonic,zvukový
collar,límec
mere,pouhý
romeo,romeo
belief,víra
storage,úložný prostor
rusty,rezavý
psycho,Psycho
climbing,šplhání
melissa,meduňka
fears,obavy
sum,součet
dedicated,jednoúčelový
ladder,žebřík
alternative,alternativní
raid,nálet
dining,stolování
ms,slečna
corporate,korporační
folk,lidový
jon,jon
replaced,vyměnit
bailey,bailey
un,un
heels,podpatky
duties,povinnosti
smarter,chytřejší
existed,existoval
surprising,překvapující
chess,šachy
requested,požadováno
cruise,plavba
primary,hlavní
rhythm,rytmus
drum,buben
models,modely
motorcycle,motocykl
adopted,přijato
barrel,hlaveň
cargo,náklad
planets,planety
shove,rýpnutí
wha,WHA
surprises,překvapení
rosie,Rosie
dings,Dings
trailer,upoutávka
cannon,dělo
tables,stoly
arse,osel
ally,spojenec
lawrence,lawrence
wee,čurat
tapes,pásky
dull,fádní
sandra,sandra
teenage,dospívající
kent,kent
cooperate,spolupracovat
risks,rizika
dug,vemeno
worthless,bezcenný
arriving,přijíždějící
kindness,laskavost
ties,vazby
items,položky
and-,a-
grip,rukojeť
relations,vztahy
rumor,pověst
skirt,sukně
frog,žába
paige,strana
lloyd,lloyd
claimed,Celek
perfume,parfém
instrumental,instrumentální
flames,plameny
association,sdružení
loses,ztrácí
january,leden
spike,špice
israel,Izrael
eleven,jedenáct
gallery,galerie
ginger,Zrzavý
activities,aktivity
iraq,Irák
boarding,nástup do letadla
fist,pěst
stuffed,nadívaný
improve,zlepšit
creation,tvorba
connie,Connie
infection,infekce
strikes,stávky
wiped,otřel
tension,napětí
whistles,píšťaly
kindly,laskavě
certificate,osvědčení
curtis,Curtis
bold,tučně
threats,hrozby
claudia,Claudia
sid,sid
twisted,zkroucený
suspended,suspendovaný
affected,ovlivněny
envy,závist
whale,velryba
dial,vytočit
cameron,cameron
martial,válečný
controlled,řízený
lung,plíce
nigga,nigga
coal,uhlí
upside,vzhůru
imperial,císařský
pam,pam
paranoid,paranoidní
signing,Podpis
congress,kongres
villa,vila
candles,svíčky
filling,plnicí
becky,Becky
comic,komik
faint,chabý
recovery,zotavení
volunteer,dobrovolník
tech,technologie
bleed,krvácet
positions,pozice
cindy,cindy
narrow,úzký
forbid,zakázat
stuart,Stuart
perspective,perspektivní
faced,tváří v tvář
neat,elegantní
pierce,prorazit
observe,pozorovat
cycle,cyklus
psychic,duševní
handling,zacházení
goose,husa
accidentally,náhodou
conclusion,závěr
designer,návrhář
sits,sedí
importance,důležitost
spots,spoty
francs,franků
sweep,zametat
destroying,zničení
communist,komunistický
blackmail,vydírání
pacific,Pacifik
risky,riskantní
glorious,skvělý
filed,podané
hatred,nenávist
cam,vačka
deals,nabídky
pos,pos
fooling,klamání
persons,osoby
scotch,skotská
executed,popraven
brakes,brzdy
blank,prázdný
tender,nabídka
kurt,Kurt
turner,soustružník
tub,vana
sucker,zelenáč
slight,nepatrný
addition,přidání
campus,campus
ritual,rituál
prey,kořist
so-called,takzvaný
graduate,absolvovat
anyways,jakkoliv
ew,ew
fry,potěr
genuine,originální
ned,ned
judging,soudě
doubts,pochybnosti
warden,správce
ceiling,strop
practicing,procvičování
somewhat,poněkud
established,stanovený
attempted,pokusili
zombie,živá mrtvola
generations,generace
yÃ¶u,yÃ¶u
gathering,shromáždění
warriors,bojovníci
mick,Mick
electrical,elektrický
collins,Collins
sobs,vzlyky
couples,párů
depend,záviset
institute,ústav
miranda,miranda
principle,zásada
fixing,upevňovací
therapist,terapeut
compete,soutěžit
compliment,kompliment
worship,uctívání
residence,rezidence
democracy,demokracie
joel,Joel
published,zveřejněno
myth,mýtus
helpless,bezmocný
screwing,šroubování
kennedy,Kennedy
execution,provedení
appetite,chuť
formal,formální
strictly,přísně
sucked,olizovat
tanks,nádrže
chickens,kuřata
gwen,Gwen
technical,technický
stella,stella
rod,tyč
meets,splňuje
shepherd,pastýř
brazil,Brazílie
brutal,brutální
alison,Alison
vain,marný
switched,zapnutý
chi,chi
deer,Jelen
brooklyn,brooklyn
dresses,šaty
retire,odejít
overcome,překonat
inspiration,inspirace
cunt,píča
benjamin,benjamín
nicky,nicky
thrilled,nadšený
tae,tae
suggestion,návrh
dummy,maketa
sailor,námořník
destination,destinace
bass,bas
picnic,piknik
assholes,kreténi
idol,modla
trucks,vozíky
rank,hodnost
denise,Denise
yu,yu
veronica,rozrazil
blocked,blokováno
strict,přísný
hiya,hiya
formula,vzorec
clerk,úředník
samurai,samuraj
disturbed,narušený
vera,vera
cafe,kavárna
wandering,putování
consciousness,vědomí
val,val
nikki,Nikki
min,min
bare,holý
hans,hans
caleb,Caleb
butcher,řezník
arrangement,dohoda
chased,honil
ministry,ministerstvo
brandy,brandy
sweater,svetr
boobs,prsa
locate,lokalizovat
apologise,omlouvat se
nazi,nacistický
parole,čestné slovo
examine,prozkoumat
trains,vlaky
candle,svíčka
prior,před
stream,proud
that-,že-
passage,průchod
reaching,dosahující
organ,orgán
directions,Pokyny
asses,osli
outer,vnější
proves,prokáže
morris,Morris
luxury,luxus
pistol,pistole
v,proti
losers,poražení
funds,prostředky
sunset,západ slunce
strings,Řetězce
fortunately,naštěstí
gotcha,Mám tě
tomb,hrobka
freddie,freddie
but-,ale-
engineering,inženýrství
element,živel
balloon,balón
ty,ty
broadcast,přenos
spray,sprej
ninja,ninja
eternity,věčnost
handy,Šikovný
to-,na-
crawl,plazit se
slice,plátek
nations,národy
behaviour,chování
pace,tempo
stiff,tuhý
lick,lízat
concrete,beton
allah,Alláh
vegetables,zelenina
euros,eur
sausage,klobása
constable,strážník
spinning,předení
rolls,rohlíky
genetic,genetický
loudly,hlasitě
old-fashioned,staromódní
marvelous,podivuhodný
subway,metro
creep,plížit se
scheme,systém
performed,provedeno
ex-wife,bývalá manželka
plug,zástrčka
rejected,odmítnuto
brenda,Brenda
respected,respektována
backs,hřbety
protocol,protokol
muscles,svaly
kidney,ledvina
finishing,dokončovací práce
products,produkty
im,im
wu,wu
invasion,invaze
affection,náklonnost
woody,dřevnatý
endless,nekonečný
discipline,disciplína
horns,růžky
absence,absence
waking,probuzení
dudes,chlapi
philosophy,filozofie
cracked,Cracked
nicholas,Nicholas
reed,rákos
verdict,výrok
drake,kačer
connections,připojení
privilege,privilegium
anyhow,stejně
scent,vůně
naive,naivní
daylight,denní světlo
controls,řízení
airplane,letoun
values,hodnoty
jolly,rozjařený
swore,zaklel
blaring,řvaní
consent,souhlas
puzzle,hádanka
disagree,nesouhlasit
argh,argh
winds,větry
vanished,Zmizelí
wizard,kouzelník
ranger,Hraničář
celebrity,osobnost
sniffles,rýma
stores,prodejny
aha,Aha
intentions,záměry
plague,mor
farmers,farmáři
breeze,vánek
rascal,rošťák
convenient,praktický
bonus,prémie
dong,dong
hush,utišit
instinct,instinkt
entitled,oprávněn
porter,porter
maurice,maurice
wrist,zápěstí
originally,původně
coins,mince
drain,drain
physics,fyzika
phoebe,Phoebe
furious,zuřivý
sniffs,čichá
vampires,upíři
defending,obraně
sector,sektor
income,příjem
finn,Fin
offended,uražená
decides,rozhodne
laser,laser
fled,prchl
beers,piva
boxing,box
accurate,přesný
kung,kung
snakes,hadi
thumb,palec
bald,plešatý
sharon,sharon
suspicion,podezření
convicted,odsouzený
roots,kořeny
shares,akcie
bernard,bernard
jessie,Jessie
wang,wang
harrison,harrison
blues,blues
confusing,matoucí
lobby,lobby
recipe,recept
las,las
winston,Winston
generally,obvykle
seeking,seeking
secretly,tajně
declare,prohlásit
freaked,vyděšený
missile,střela
ensure,zajistit
tricky,choulostivý
pointed,špičatý
hockey,hokej
bubble,bublina
contacts,kontakty
maximum,maximum
reminded,připomněl
carriage,vozík
curtain,záclona
clues,záchytné body
hostages,rukojmí
circles,kruhy
author,autor
wallace,Wallace
receiving,přijímací
debts,dluhy
cellar,sklep
tortured,Tortured
tips,tipy
mates,kamarádi
mortal,smrtelný
reporters,reportéři
associate,spolupracovník
honesty,poctivost
laptop,laptop
jung,jung
katherine,Kateřina
rainbow,duha
seed,semínko
mature,zralý
deed,listina
kay,kay
expenses,výdaje
discussing,diskutovat
pirate,pirát
meals,jídla
performing,předvádění
remained,zůstal
prostitute,prostitutka
adams,Adams
retirement,odchod do důchodu
platform,plošina
claus,claus
erica,Erica
beds,lůžek
writes,zápisy
illusion,iluze
mill,mlýn
dealt,zabývala
hears,slyší
tryin,tryin
manhattan,Manhattan
mole,krtek
rang,rang
prosecution,provozování
fatal,smrtelný
copper,měď
troubled,ustaraný
heir,dědic
traces,stopy
owners,majitelé
length,délka
dentist,zubař
zach,Zach
lesbian,lesbička
enterprise,podnik
tournament,turnaj
travelling,cestování
confessed,přiznal
roast,pečeně
website,webová stránka
ja,ja
mikey,Mikey
flood,zaplavit
harbor,přístav
lola,lola
rory,Rory
richie,richie
mansion,panské sídlo
mademoiselle,mademoiselle
auction,aukce
desires,touhy
bachelor,bakalář
haunted,strašidelný
distracted,roztržitý
smashed,rozbil
rodney,Rodney
scheduled,naplánovaný
negotiate,vyjednávat
champ,chroupat
allows,umožňuje
shotgun,brokovnice
nigger,negr
cocktail,koktejl
donkey,osel
pointing,polohovací
butler,komorník
dizzy,závratě
methods,metody
reference,odkaz
georgia,georgia
bully,tyran
lydia,Lýdie
collapse,kolaps
alfred,Alfréd
ana,ana
minimum,minimální
chairs,židle
hee,hee
patty,patty
owes,dluží
included,zahrnuta
carmen,Carmen
civilization,civilizace
prices,ceny
wealthy,bohatý
bart,bart
depression,Deprese
tide,slapy
rented,pronajato
bra,podprsenka
lin,lin
fellows,kamarádi
rot,trouchnivění
password,Heslo
th,th
kirk,kostel
pedro,Pedro
spill,rozlít
cured,vyléčen
naomi,naomi
hardest,nejtěžší
deceased,zesnulý
sleepy,ospalý
static,statický
hawaii,Havaj
almighty,všemohoucí
murray,Murray
offers,nabídek
bruno,Bruno
phrase,fráze
disgrace,ostuda
sources,Zdroje
approval,odsouhlasení
turtles,želvy
screech,pištění
snack,Svačina
collected,klidný
ding,znít
fur,srst
jewels,klenoty
jan,leden
cheek,tvář
legally,právně
ditch,příkop
benefits,výhody
roars,řev
arnold,Arnold
dime,deseticent
domestic,domácí
chuckle,chichot
hack,zaseknout
ransom,výkupné
chang,chang
bore,otvor
muslim,muslimský
loads,spousta
